codigo_ibge,NomMunicipio,longitude,latitude,UF
1100015,Alta Floresta D'Oeste,-62.27475376320759,-12.47092723110536,RO
1100023,Ariquemes,-62.95722495034935,-9.951946828073472,RO
1100031,Cabixi,-60.6398379402873,-13.47493020713329,RO
1100049,Cacoal,-61.32477890820541,-11.301427236345516,RO
1100056,Cerejeiras,-61.26093480336347,-13.20359858711376,RO
1100064,Colorado do Oeste,-60.550240776965815,-13.159208950683036,RO
1100072,Corumbiara,-61.09162101388056,-12.926694372295982,RO
1100080,Costa Marques,-64.05884067054588,-12.147560416108762,RO
1100098,Espigão D'Oeste,-60.78485800264704,-11.351557092755655,RO
1100106,Guajará-Mirim,-64.53747338261645,-11.306437852413431,RO
1100114,Jaru,-62.58501132387772,-10.592699463080132,RO
1100122,Ji-Paraná,-61.75731458816989,-10.462900496653232,RO
1100130,Machadinho D'Oeste,-62.01045134429473,-9.204428099056248,RO
1100148,Nova Brasilândia D'Oeste,-62.280287596030334,-11.643262948215026,RO
1100155,Ouro Preto do Oeste,-62.17261073885232,-10.61072622798597,RO
1100189,Pimenta Bueno,-60.83031042059683,-11.894664297887626,RO
1100205,Porto Velho,-64.30806798715416,-9.155005191436366,RO
1100254,Presidente Médici,-61.87795859258016,-11.166324248936562,RO
1100262,Rio Crespo,-62.79007874310335,-9.645236253302423,RO
1100288,Rolim de Moura,-61.77156096500921,-11.732592546476264,RO
1100296,Santa Luzia D'Oeste,-61.70109188775842,-12.027057715993834,RO
1100304,Vilhena,-60.24865430459261,-12.09781841450852,RO
1100320,São Miguel do Guaporé,-62.98748722601028,-11.612714423275325,RO
1100338,Nova Mamoré,-64.62895205057602,-10.382425227530389,RO
1100346,Alvorada D'Oeste,-62.54497714838265,-11.31147361294172,RO
1100379,Alto Alegre dos Parecis,-61.88089214195491,-12.594238281114556,RO
1100403,Alto Paraíso,-63.39435887794132,-9.649405334728582,RO
1100452,Buritis,-63.941137703944136,-10.05219154098296,RO
1100502,Novo Horizonte do Oeste,-62.08320681403039,-11.681142023544703,RO
1100601,Cacaulândia,-62.98723029394159,-10.33162998014589,RO
1100700,Campo Novo de Rondônia,-63.799687064844775,-10.485059155345455,RO
1100809,Candeias do Jamari,-63.32571566033279,-8.887247838333742,RO
1100908,Castanheiras,-61.88006079320334,-11.470829564497516,RO
1100924,Chupinguaia,-60.89909337973667,-12.53744520615328,RO
1100940,Cujubim,-62.565379341053664,-9.171317279758131,RO
1101005,Governador Jorge Teixeira,-63.18405617460428,-10.748160270672424,RO
1101104,Itapuã do Oeste,-63.04495376152789,-9.170306874479303,RO
1101203,Ministro Andreazza,-61.5689804116653,-11.160350707493546,RO
1101302,Mirante da Serra,-62.84799737794928,-11.076863607528187,RO
1101401,Monte Negro,-63.37239318752769,-10.210929869784064,RO
1101435,Nova União,-62.53235563637504,-10.88937339400382,RO
1101450,Parecis,-61.41539581612203,-12.26242834533694,RO
1101468,Pimenteiras do Oeste,-61.54520993199387,-13.174354364982108,RO
1101476,Primavera de Rondônia,-61.31533874908319,-11.87872817344651,RO
1101484,São Felipe D'Oeste,-61.46707205232859,-11.905019663550611,RO
1101492,São Francisco do Guaporé,-63.12187197418309,-12.368766432047728,RO
1101500,Seringueiras,-63.186531420438754,-11.78270346121966,RO
1101559,Teixeirópolis,-62.27976903740177,-10.94346912778595,RO
1101609,Theobroma,-62.34252200429325,-10.121824554291145,RO
1101708,Urupá,-62.424422085049954,-11.10396600684443,RO
1101757,Vale do Anari,-61.93918021441834,-9.73254174783913,RO
1101807,Vale do Paraíso,-62.09407044185102,-10.38436702908533,RO
1200013,Acrelândia,-66.95016418836319,-9.93399942812562,AC
1200054,Assis Brasil,-70.00578660074267,-10.779893379921996,AC
1200104,Brasiléia,-69.20745158823824,-10.74747093578787,AC
1200138,Bujari,-68.17364356201473,-9.614202635048326,AC
1200179,Capixaba,-67.83586561024505,-10.47438003499565,AC
1200203,Cruzeiro do Sul,-72.75495986356226,-7.972069724992897,AC
1200252,Epitaciolândia,-68.61821185184614,-10.88928482715064,AC
1200302,Feijó,-70.7456260626642,-8.925803143295724,AC
1200328,Jordão,-71.90622354627753,-9.24301944715096,AC
1200336,Mâncio Lima,-73.43907836818036,-7.504496638194967,AC
1200344,Manoel Urbano,-69.85442576592817,-9.382547205519492,AC
1200351,Marechal Thaumaturgo,-72.55923663982678,-9.096463503090076,AC
1200385,Plácido de Castro,-67.34036392787634,-10.249163401827404,AC
1200393,Porto Walter,-72.73355649663172,-8.492008420473901,AC
1200401,Rio Branco,-68.37115228696752,-10.066319042841515,AC
1200427,Rodrigues Alves,-73.22333718090638,-7.843859771638626,AC
1200435,Santa Rosa do Purus,-70.39592663823422,-9.410992147588148,AC
1200450,Senador Guiomard,-67.42779125765114,-9.997462346015476,AC
1200500,Sena Madureira,-69.38231070174041,-9.772409939610478,AC
1200609,Tarauacá,-71.44502949375935,-8.23982431564587,AC
1200708,Xapuri,-68.50466688826998,-10.575722755488655,AC
1200807,Porto Acre,-67.69838678143932,-9.62958939637326,AC
1300029,Alvarães,-65.32457948336116,-3.694861016325652,AM
1300060,Amaturá,-68.28650337378828,-3.41848049176305,AM
1300086,Anamã,-61.71798008796608,-3.501870416268003,AM
1300102,Anori,-62.095560356395495,-4.198845540035765,AM
1300144,Apuí,-59.43210734207043,-7.761233280019484,AM
1300201,Atalaia do Norte,-71.74147785465425,-5.712228563873724,AM
1300300,Autazes,-59.5256244703056,-3.78736404722059,AM
1300409,Barcelos,-63.43472716326897,-0.4652843649592146,AM
1300508,Barreirinha,-57.17237746246936,-3.129135987628721,AM
1300607,Benjamin Constant,-70.27642836428657,-5.426990994359945,AM
1300631,Beruri,-61.804508953759154,-4.606527272289092,AM
