regime,nystrom_error,kpca_distortion,method
Population-share,0.053236845771839146,0.11861865870143744,nsga2
Population-share,0.04883633845179519,0.10607385270610784,nsga2
Population-share,0.06246666624336475,0.1539617734116911,nsga2
Population-share,0.10282745085594529,0.23199909070189786,nsga2
Population-share,0.05696470042395177,0.13294417764734412,nsga2
Population-share,0.052514498272841235,0.12218185051365604,nsga2
Population-share,0.06542944763832614,0.1639799894777924,nsga2
Population-share,0.048544064174487984,0.10310650223152308,nsga2
Population-share,0.04733219702364791,0.10169556018228242,nsga2
Population-share,0.05144887609635838,0.11653395520281828,nsga2
Population-share,0.08185330083108329,0.20228540497929515,nsga2
Population-share,0.046257789121850953,0.09746540915474602,nsga2
Population-share,0.05770158926972662,0.14024532376294824,nsga2
Population-share,0.08737919727407154,0.21308361471612375,nsga2
Population-share,0.06804006798470641,0.17651889591976933,nsga2
Population-share,0.060098627948946354,0.1415110324467715,nsga2
Population-share,0.13992414419693197,0.2887584273221874,nsga2
Population-share,0.05022173743867319,0.11443206731734606,nsga2
Population-share,0.06804465295821792,0.17373988811647814,nsga2
Population-share,0.11379578858225595,0.2588250496103256,nsga2
Population-share,0.09723804895604535,0.2461888664327899,nsga2
Population-share,0.08566149465780268,0.2057042524674385,nsga2
Population-share,0.09073994656715362,0.22208480309420756,nsga2
Population-share,0.04927391201177019,0.1106176504824141,nsga2
Population-share,0.04517022987511245,0.09262017154618586,nsga2
Population-share,0.05563336376772733,0.12382722334002695,nsga2
Population-share,0.06445082514723913,0.15772127747071482,nsga2
Population-share,0.04958691334340733,0.11035379406860446,nsga2
Population-share,0.13558654750082355,0.2745396908936083,nsga2
Population-share,0.047342802288071424,0.1014671225522262,nsga2
Population-share,0.05001033666312463,0.11154059267423877,nsga2
Population-share,0.05252766319679685,0.1207506951787726,nsga2
Population-share,0.12801096319845112,0.2668795105659069,nsga2
Population-share,0.05716621379681739,0.1329020697645113,nsga2
Population-share,0.050963077087154356,0.11515804915233077,nsga2
Population-share,0.055114375811842024,0.12546108858032554,nsga2
Population-share,0.05130381554683091,0.1162455227806245,nsga2
Population-share,0.05052076993063431,0.11327972154528347,nsga2
Population-share,0.10469092551318442,0.2253630449417286,nsga2
Population-share,0.05791597653774846,0.14205772170121836,nsga2
Population-share,0.05506457254728512,0.12943785990515236,nsga2
