k,nystrom_error_mean,nystrom_error_min,kpca_distortion_mean,kpca_distortion_min
30,0.16698610647291118,0.06827626455872673,0.3733118931851376,0.1760092112047393
50,0.11954424676376744,0.05633069576803582,0.27399560561224445,0.13608638881602184
100,0.06460306210252059,0.04158287729608595,0.15226123540913958,0.07624536678984299
200,0.04880328868117908,0.031412931077901794,0.0965506418357551,0.04139961256558142
300,0.03875833586594762,0.029764886971573458,0.0680891070606128,0.03980245599157178
400,0.031128551463269115,0.02523465416391454,0.046112883971498625,0.025416822389468432
500,0.026011117912957973,0.022896642633311766,0.031615013776818496,0.019685681127395736
