k,rmse4g_mean,rmse4g_min
30,6.155541639436008,4.859163465330643
50,5.82310959059238,4.661001267383395
100,5.099562857896372,4.362130906240186
200,4.733852283188843,4.194723752586723
300,4.589549132927021,4.005686543070243
400,4.376594899132534,3.8288073138641145
500,4.40336578246791,3.908030957270949
