objective,nystrom_error,kpca_distortion,method
Sinkhorn only,0.043605318372410835,0.08724913668677649,nsga2
Sinkhorn only,0.044934420141431605,0.09136943261961551,nsga2
Sinkhorn only,0.050327744322899486,0.11646749205754937,nsga2
Sinkhorn only,0.05505248425136965,0.12534238827012764,nsga2
Sinkhorn only,0.045052051810506234,0.09469761498971585,nsga2
Sinkhorn only,0.07213524409356145,0.17708949761543438,nsga2
Sinkhorn only,0.046459821294060254,0.09904332918268813,nsga2
Sinkhorn only,0.061263608033336615,0.1525749648622909,nsga2
Sinkhorn only,0.04439321951401454,0.08974816763296148,nsga2
Sinkhorn only,0.04724867384237115,0.10149498501948748,nsga2
Sinkhorn only,0.053887216178129395,0.11630199088462334,nsga2
Sinkhorn only,0.05430286218218742,0.1260069971345534,nsga2
Sinkhorn only,0.04163684049376299,0.0794082623943166,nsga2
Sinkhorn only,0.06282771890477931,0.15579369237435592,nsga2
Sinkhorn only,0.05723516777080461,0.13118699308895693,nsga2
Sinkhorn only,0.05621140711758761,0.12793552854625578,nsga2
Sinkhorn only,0.0638166133063722,0.15382682037081352,nsga2
Sinkhorn only,0.05815880198481576,0.13956253549322592,nsga2
Sinkhorn only,0.045220586444909755,0.09430604893035847,nsga2
Sinkhorn only,0.05634335754443925,0.13036200835557482,nsga2
Sinkhorn only,0.05156969301096425,0.11345461931475707,nsga2
Sinkhorn only,0.05405421074309054,0.12686684360390846,nsga2
Sinkhorn only,0.05304794298867944,0.1273774440791568,nsga2
Sinkhorn only,0.0484810366448605,0.10505919183903849,nsga2
Sinkhorn only,0.05255855258035033,0.11920039905706262,nsga2
Sinkhorn only,0.05091201410918665,0.11590261943277819,nsga2
Sinkhorn only,0.06163293179126144,0.15291085834340298,nsga2
Sinkhorn only,0.042913392190468705,0.08518273057869347,nsga2
Sinkhorn only,0.06143533519697919,0.1428297525680559,nsga2
Sinkhorn only,0.058157541704872695,0.13696521826278305,nsga2
Sinkhorn only,0.05344661276914433,0.12276743713654521,nsga2
Sinkhorn only,0.06155944775507648,0.14471956846098888,nsga2
Sinkhorn only,0.0511266653861298,0.11207442002668998,nsga2
