nystrom_error,geo_l1_pop
0.03746094157078565,0.7545951459214586
0.036872480294657665,0.6891322807579262
0.036872480294657665,0.6891322807579262
0.03746094157078565,0.7545951459214586
0.03701885758618393,0.690261640901102
0.03664707348294829,0.763696914787001
0.037270143188025545,0.72011962762461
0.03681126454773854,0.6917242659706211
0.036824474900503334,0.6183211561576067
0.036824474900503334,0.6183211561576067
0.0368675715771197,0.6187621463780244
0.03693607706029395,0.7309633815260581
0.03684275174683913,0.7297659768580685
0.03673020640382104,0.7226698524145061
0.03688859666363073,0.6853147297235448
0.03685836291363726,0.7253794309300685
0.03676312350126391,0.6210271790110067
0.036943124486778174,0.6994115053524863
0.03689695138476237,0.72576528212987
0.036872480294657665,0.6891322807579262
0.03669604628822192,0.7378481047365885
0.03664857080900004,0.6990330941895866
0.03676124718364928,0.726466314467235
0.0368739721664668,0.6996895830331766
0.03660513811709799,0.7456228321818476
0.03693318222848289,0.7568697019412616
0.036893718508619194,0.7621486922897965
0.03676500421554727,0.7423767248186064
0.03689695138476237,0.72576528212987
0.037087958538257,0.6829174830804079
0.03663466330655366,0.7303753708447988
0.03677407889200689,0.7282683518891524
0.0367202634727835,0.7230746898202998
0.03680548786256718,0.7159640380818941
0.03688859666363073,0.6853147297235448
0.03687976468310661,0.7307365336671745
0.03663466330655366,0.7303753708447988
0.036867036270660965,0.7587169076111062
0.03687976468310661,0.7307365336671745
0.03666855767211566,0.723916630485168
0.03676124718364928,0.726466314467235
0.03681839659114374,0.7325857178672601
0.03708288932790629,0.690916387072047
0.037087958538257,0.6829174830804079
0.037270143188025545,0.72011962762461
0.03746094157078565,0.7545951459214586
0.03678102238524071,0.7295143156206709
0.03678102238524071,0.7295143156206709
0.03654796991494163,0.745245513680968
0.036699835196784734,0.7436977399947493
0.036780090155020685,0.7469949408246775
0.03671084930324497,0.7262257738814151
0.03685836291363726,0.7253794309300685
0.036699835196784734,0.7436977399947493
0.03677407889200689,0.7282683518891524
0.03678341716002275,0.7249639273408939
0.036943124486778174,0.6994115053524863
0.03689185386644253,0.699184623683045
0.036803057990252644,0.6211576220136641
0.03671622810572191,0.7216387363238828
0.03650555426501316,0.7261148759701593
0.036699835196784734,0.7436977399947493
0.036815383872054346,0.715951864756693
0.036700813054356934,0.7254141335206775
0.03694962180209319,0.7032177532124031
0.03689185386644253,0.699184623683045
0.03678341716002275,0.7249639273408939
0.036830059613794604,0.7373763332720457
0.03671622810572191,0.7216387363238828
0.03689846922418001,0.7029918526567523
0.03671622810572191,0.7216387363238828
0.037072446404784125,0.6965449278326891
0.03706035948703003,0.6932736939824834
0.03707432653959624,0.6791106596184802
0.03666855767211566,0.723916630485168
0.03650555426501316,0.7261148759701593
0.036803057990252644,0.6211576220136641
0.03694962180209319,0.7032177532124031
0.03671036601292372,0.7254020991698034
0.03673790520199086,0.7263806312420938
0.03685836291363726,0.7253794309300685
0.03689695138476237,0.72576528212987
