state,method,rep_id,target,rmse,mae,r2,n
0,SKKN,1,4G,2.9623026079962487,2.404626835468544,-1.6865487390529168,17
1,SKKN,1,4G,2.6084951251668427,2.1224497058381253,-0.6679071727150907,21
10,SKKN,1,4G,3.5254701059925204,3.2046456815889925,-0.04131024908228231,5
11,SKKN,1,4G,4.396646156391927,3.786682760462921,-1.3739760291230692,10
12,SKKN,1,4G,2.778721332253683,2.363700929314925,-0.3823402993033391,13
13,SKKN,1,4G,3.4747787152635814,3.3197949190180416,-0.16899474147715154,5
14,SKKN,1,4G,2.258550347007664,1.902835152389127,-0.39974493041058334,38
15,SKKN,1,4G,1.7544890990447297,1.3819129288433232,-0.1451420240359551,27
16,SKKN,1,4G,2.8170421011037026,2.0549146838831636,-1.7897920955092688,2
17,SKKN,1,4G,1.7093670326965686,1.4526134747550905,-0.07192703367505748,17
18,SKKN,1,4G,2.68297555884702,2.4642784747542854,-3.67567477409004,6
19,SKKN,1,4G,1.7030073093754838,1.65562487020602,-0.007808667952148518,7
2,SKKN,1,4G,3.0500998712006995,2.3211252661491995,-0.02464810736774492,10
20,SKKN,1,4G,2.065358847170782,1.961774335726437,0.13929826304323945,2
21,SKKN,1,4G,6.351512701767328,6.340880711964765,-177.12802848856052,3
22,SKKN,1,4G,2.245826080560397,1.7624732228324849,-0.18326233611636789,17
23,SKKN,1,4G,2.5573762786123044,2.164116958467911,0.0979474955018147,8
24,SKKN,1,4G,3.0468551812430995,2.5337995740868116,-0.821040585246982,20
25,SKKN,1,4G,2.6283447606592603,2.0601742644628094,-0.3912773857793439,21
26,SKKN,1,4G,2.4298335729010883,1.8460564353644702,-0.41091740099654794,8
3,SKKN,1,4G,1.8156043882848856,1.5833125171414668,-0.12968295591864165,31
4,SKKN,1,4G,4.18143842179905,3.819022402867173,-1.3062683773330104,5
5,SKKN,1,4G,3.355688590292376,2.800638269091658,-0.8194146816427437,15
6,SKKN,1,4G,2.405295655898439,1.9658128108877448,0.04187434801149037,44
7,SKKN,1,4G,2.000935520496236,1.684903224693055,0.05810129465335401,27
9,SKKN,1,4G,2.6508870527657695,2.2176275931682112,-0.7599498735270083,20
