method,regime,nystrom_coverage_mean,nystrom_coverage_max,nystrom_coverage_p95
Farthest-first,unconstrained,0.7300813778878594,0.8634932520150379,0.8317639838497469
K-means,unconstrained,0.6361369498390826,0.7656433676698273,0.7314797010481153
KKM-Nystrom,unconstrained,0.6539890580268856,0.7758478114835592,0.7488929022642385
KKM-Nystrom (quota),quota,0.644174651089711,0.771820520721883,0.736082981896578
NSGA-II (Pareto-validated),pareto_validated,0.6677152077760348,0.797450285857455,0.7616171565771461
Ridge-leverage,unconstrained,0.6726624071242538,0.803878588078096,0.7696841759484684
Uniform,unconstrained,0.6640673477348169,0.7857044782705974,0.7625044414513633
Uniform (quota),quota,0.6655732374946549,0.7896275856443765,0.7641996496980882
