state,method,rep_id,target,rmse,mae,r2,n
0,Pareto,0,4G,4.656076307471283,4.138032659284299,-3.4154279094409183,17
10,Pareto,0,4G,6.1565158406475184,5.961539146021539,-14.241127780078942,16
11,Pareto,0,4G,1.6605691256813293,1.3268468927627413,-0.09179324873093675,23
12,Pareto,0,4G,2.8812146614424092,2.450243822628745,-1.6055847091336157,36
13,Pareto,0,4G,2.7658239741920196,2.440968530598541,-1.6403350425532177,46
14,Pareto,0,4G,3.453701708619767,3.1263312166658275,-1.0542185815786556,8
15,Pareto,0,4G,1.6290019402462246,1.4698543299017832,-0.15466276759225228,15
16,Pareto,0,4G,2.5500781449516166,2.058849314840699,-0.40059915996593776,13
17,Pareto,0,4G,2.8853416520627952,2.5021220002352593,-1.2888502330209537,14
18,Pareto,0,4G,2.2146506707272215,1.9335204647648263,-0.11760788551264634,12
19,Pareto,0,4G,2.015113704592968,1.7731404787887814,-0.4084172644781523,21
2,Pareto,0,4G,3.551724715602581,3.4117190270393727,-14.023652365941066,4
20,Pareto,0,4G,2.3175461220076152,1.852530290572359,-0.3387306282302751,15
21,Pareto,0,4G,1.8569875325368692,1.5504502159166451,-0.08337904657937156,26
22,Pareto,0,4G,2.139678177773723,1.9994969196298964,-0.09925693065935937,6
23,Pareto,0,4G,2.5785264842338917,2.295991651374967,-0.9582986210018172,22
24,Pareto,0,4G,2.217813324138005,1.5692141817500018,-0.1611164749580194,7
25,Pareto,0,4G,1.9462181392986178,1.567681368403465,-1.9164693949456142,5
26,Pareto,0,4G,3.21710332548041,2.7189239053748633,-0.20288359200923822,11
3,Pareto,0,4G,4.259778749039298,4.001541720644099,-6.837080828830711,4
4,Pareto,0,4G,2.4485339623610107,2.113581524866689,-1.7827169026533243,17
5,Pareto,0,4G,2.647803574631057,1.9223797293588945,-0.5444567037717984,12
6,Pareto,0,4G,2.7248725438218786,2.0662122655258988,-0.3047109029946382,13
7,Pareto,0,4G,4.164500988982636,3.56091643425623,-2.523109547365016,4
8,Pareto,0,4G,2.894793407703688,2.389181157913859,-0.9812400953985136,24
9,Pareto,0,4G,1.6154047668882123,1.2705191489071392,-0.2815165000425375,9
