state,method,rep_id,target,rmse,mae,r2,n
0,KM,1,5G,2.574019980204571,2.1493124940221877,-0.9195715123232884,17
1,KM,1,5G,2.039033306506379,1.5885435868305624,-0.5052757978886464,21
10,KM,1,5G,2.144223929257313,1.603207933997068,-0.5011142500596515,5
11,KM,1,5G,5.421127335036466,5.153206748041384,-10.40375283851403,10
12,KM,1,5G,2.067683466663233,1.78689781084555,-0.910024807869547,13
13,KM,1,5G,2.2532987138252563,1.9346589602899358,-1.8725668416807055,5
14,KM,1,5G,2.4416802326900244,2.0262711472846053,-0.5069677153488943,38
15,KM,1,5G,2.45094143430856,1.9115014102775758,0.10766602051904683,27
16,KM,1,5G,0.7137738453395733,0.6676561258425482,-0.7455017521102085,2
17,KM,1,5G,3.925299352223045,3.512692368394949,-3.3174503446440564,17
18,KM,1,5G,3.521185507738235,2.776208750350289,-0.27230570299149326,6
19,KM,1,5G,2.477789809283193,2.0075883871439366,-0.2192342999950696,7
2,KM,1,5G,2.3587389249909143,2.18544292242001,-0.1273598886808922,10
20,KM,1,5G,1.38642678369443,1.0853870942284907,-1.1650130909978573,2
21,KM,1,5G,2.1393267246610392,2.0564430205794553,-5.102669534128511,3
22,KM,1,5G,2.853757252377714,2.5984493171163177,-2.9214208202530023,17
23,KM,1,5G,2.298108050224102,1.682707513899556,-1.2556424024360275,8
24,KM,1,5G,2.3454612979625438,1.894246682943201,-0.10976990573771928,20
25,KM,1,5G,3.44693065796546,3.1613566894431813,-3.125023049287737,21
26,KM,1,5G,2.404373111642565,1.722094036806601,-1.0260189412109284,8
3,KM,1,5G,3.2599704951607205,3.0127857342517927,-6.252147454532135,31
4,KM,1,5G,2.4424944459069446,2.048372291543667,-1.7749596787563529,5
5,KM,1,5G,1.6293312080372435,1.3306337856152033,-0.1075019291920758,15
6,KM,1,5G,2.214831997959861,1.791091565273043,0.0015515154498946249,44
7,KM,1,5G,2.4778709268181145,1.9517594697169585,0.07053164420063684,27
9,KM,1,5G,2.1665853383663634,1.7507635557272603,-0.04840768092986325,20
