method,regime,p90_ae_target_0,p95_ae_target_0,p99_ae_target_0,mae_target_0,p90_ae_target_1,p95_ae_target_1,p99_ae_target_1,mae_target_1,p90_ae_target_2,p95_ae_target_2,p99_ae_target_2,mae_target_2,p90_ae_target_3,p95_ae_target_3,p99_ae_target_3,mae_target_3
Farthest-first,unconstrained,1.3213695134944026,1.6157606221923155,1.9785512011194344,0.6161263709301568,1.2508117755593098,1.4771476356823845,2.1437500986867097,0.6176818085450211,1.1981300495207925,1.4583312791666243,1.9485802362172076,0.6026674295945879,1.2420803963508875,1.530200314728501,1.8406862533399007,0.5953662286774764
K-means,unconstrained,1.2669375773711309,1.420475146094935,1.9245996220760653,0.6078698746335318,1.2189704241444579,1.5812510670909072,1.9541482890031379,0.5926692577459438,1.1864971245517877,1.449693094118966,1.9331255913700982,0.5865784048695329,1.1995797647625568,1.4858765875931876,1.9228869936188147,0.5763253873310585
KKM-Nystrom,unconstrained,1.254352795563508,1.428725110296264,1.94913786107319,0.5985017325914741,1.1470376083412546,1.3225928653109005,1.76960283569056,0.5589447241620825,1.1642377207468144,1.3827030843801775,1.6947880027581634,0.5486768552363811,1.1961275918606642,1.4508435368676567,1.8181643996556724,0.5339879328165517
KKM-Nystrom (quota),quota,1.1452238787603133,1.5317930429426905,1.8466909345416822,0.5945339056879244,1.1145327919501684,1.3408719468333796,2.102538243775342,0.5538018742798773,1.152745440571957,1.3746780003072496,1.7158606489552224,0.5384264004894016,1.2227164050774488,1.410591762451836,1.8452989652276426,0.5563199891237401
NSGA-II (Pareto-validated),pareto_validated,1.2004249930858686,1.4528533778749033,1.8335429822255247,0.558919331555284,1.1676107636186943,1.434113569210125,2.05731804823072,0.5863821491257246,1.2223630512176973,1.4169813390274022,1.7133899384661653,0.6107409596683911,1.278853973290611,1.4370292044516646,1.9596557237058825,0.5963042985352976
Ridge-leverage,unconstrained,1.1826691681694455,1.460978192056274,1.992559588708146,0.6262798086519537,1.273886797366404,1.5410542381728742,1.9308367041405041,0.5963870859673983,1.314678566721353,1.613763920089896,1.9364332361709244,0.6036486680739359,1.1962180382456273,1.4547000917835202,1.9344125393288536,0.5897820744265521
Uniform,unconstrained,1.2442884157118332,1.5369948666291278,1.8487901758396659,0.589803680946631,1.2815465704334967,1.4918361638020112,2.0800663078317463,0.6147204080599459,1.286473771831625,1.6556466087777588,2.027965646679736,0.6218149857900671,1.155905782711992,1.4040600194307709,2.1719855524763383,0.5794469639874196
Uniform (quota),quota,1.1894698449473327,1.385275301867382,1.804614820397181,0.5575934257555795,1.2775341947228682,1.465129782211702,2.0055022897278003,0.6012618287168554,1.2805428993858774,1.5014347550773632,1.9287954901204312,0.6366198992634268,1.187194813739209,1.4776497592444022,2.0196832582462707,0.5524529346456853
