state,method,rep_id,target,rmse,mae,r2,n
0,KM,0,5G,4.944896986212728,4.403401462950078,-2.238145620520683,17
10,KM,0,5G,2.214985742676202,1.9118158287192184,-0.6322424528166481,16
11,KM,0,5G,3.0715721509274396,2.3138013034706484,-1.089656951342012,23
12,KM,0,5G,2.6911534386967073,2.4264872730638682,-0.920177276080324,36
13,KM,0,5G,2.638577529289075,2.112472854971406,-0.10150827805610607,46
14,KM,0,5G,2.5224311885192465,2.2133204716248156,-0.3665147999767817,8
15,KM,0,5G,2.8004768669445808,2.2375281673068654,-0.13953634884263422,15
16,KM,0,5G,3.187841011903727,2.8714218440059374,-3.612123818640204,13
17,KM,0,5G,1.7507022668068248,1.401583583902675,-0.08909024318896619,14
18,KM,0,5G,1.667404394030964,1.573021101539524,-1.5492526719723694,12
19,KM,0,5G,3.0664746019352194,2.431835632496238,-0.1679135933753757,21
2,KM,0,5G,3.1483535774458664,2.2960085173710505,-1.7234226929786134,4
20,KM,0,5G,2.52539106574267,1.901315658927637,0.07723787743506283,15
21,KM,0,5G,3.044204002464212,2.7250162667268794,-2.380713916137962,26
22,KM,0,5G,2.0369180232301205,1.8667275469969138,-0.19508073901874567,6
23,KM,0,5G,2.4488784456903083,2.031498452340566,-0.9369374247993139,22
24,KM,0,5G,1.510252314134222,1.3827701999685384,0.2188498644461444,7
25,KM,0,5G,5.3527224463526295,5.254717940631282,-26.159183434991906,5
26,KM,0,5G,2.9290285498014,2.508082952186776,-1.8751178799102175,11
3,KM,0,5G,3.900826751551609,3.2566871326146707,-1.5288989360078151,4
4,KM,0,5G,2.1978130707955317,1.6707247678508006,-0.6353488171007233,17
5,KM,0,5G,2.1931583710303793,1.931974654111478,0.1786919630675814,12
6,KM,0,5G,3.0949084896096175,2.5693192467031314,-0.14804302146633952,13
7,KM,0,5G,3.952978824374362,3.3409712224791193,-1.842925930826238,4
8,KM,0,5G,2.018453005987343,1.6326741321872216,-0.15417198255178555,24
9,KM,0,5G,3.235951753461,2.529784867123067,-0.5082775779452113,9
