state,method,rep_id,target,rmse,mae,r2,n
0,U,1,5G,2.579263057634406,2.148984009384547,-0.9273995108701767,17
1,U,1,5G,2.030649906591265,1.5798034717200375,-0.4929234865898311,21
10,U,1,5G,2.1594227128512,1.6032588533569985,-0.5224702006820015,5
11,U,1,5G,5.415621876664266,5.158116246919885,-10.380602300667302,10
12,U,1,5G,2.0569647845271875,1.7729247440028562,-0.8902733476785243,13
13,U,1,5G,2.259383612524324,1.9274767855066979,-1.8881021801641422,5
14,U,1,5G,2.440841392768471,2.030117349234023,-0.5059324548578203,38
15,U,1,5G,2.456824239741335,1.9187462333964693,0.10337727905334715,27
16,U,1,5G,0.6869107908127297,0.6433850379024042,-0.6165893243517568,2
17,U,1,5G,3.925661800552753,3.517128394294237,-3.3182476977996167,17
18,U,1,5G,3.5289637453685123,2.7712925147864076,-0.2779329137405726,6
19,U,1,5G,2.473933951135416,2.003067749328257,-0.2154425848407262,7
2,U,1,5G,2.358453815893635,2.191308129794172,-0.1270873692162351,10
20,U,1,5G,1.3416888887256981,1.0638272026642765,-1.0275440277137387,2
21,U,1,5G,2.1471265076985904,2.0652031663388324,-5.147250167280378,3
22,U,1,5G,2.8741206953477945,2.611262792141428,-2.977584345278154,17
23,U,1,5G,2.3162978093959814,1.681352996478433,-1.2914909943012294,8
24,U,1,5G,2.337500769898153,1.8891304229403214,-0.10224954074453318,20
25,U,1,5G,3.4423561851044155,3.1577307383272832,-3.1140815557321853,21
26,U,1,5G,2.4255873282204603,1.7460261524907041,-1.06192852306605,8
3,U,1,5G,3.2576186269277727,3.00929519015438,-6.241687272280559,31
4,U,1,5G,2.4259727082628912,2.0181343179399462,-1.7375453917660124,5
5,U,1,5G,1.6191540322078906,1.3165450952261561,-0.0937097174791306,15
6,U,1,5G,2.211997302988029,1.7892290062786438,0.004105646595427559,44
7,U,1,5G,2.4600547243505817,1.9399527161732562,0.0838495805377153,27
9,U,1,5G,2.187055475756367,1.7719649049139186,-0.06831221186944836,20
