state,method,rep_id,target,rmse,mae,r2,n
0,KKN,1,4G,2.9577008388030626,2.39952311150278,-1.6782084198191471,17
1,KKN,1,4G,2.615146042148295,2.1222732411264325,-0.6764233889532845,21
10,KKN,1,4G,3.541491087674395,3.2199084033620786,-0.05079591664988259,5
11,KKN,1,4G,4.383639049844911,3.769654791489021,-1.3599503912851936,10
12,KKN,1,4G,2.7963770408005484,2.3844795166618287,-0.3999626023264182,13
13,KKN,1,4G,3.4386015617239214,3.2845388980343406,-0.14477981851025978,5
14,KKN,1,4G,2.258528666662722,1.9007881476065505,-0.3997180575916459,38
15,KKN,1,4G,1.7488388440393439,1.3729436554101122,-0.13777814160797508,27
16,KKN,1,4G,2.851064412720211,2.081485390919666,-1.8575854283353905,2
17,KKN,1,4G,1.6933681072227313,1.4407174784557497,-0.05195540247484032,17
18,KKN,1,4G,2.6964927372811047,2.482002158173407,-3.722906766023919,6
19,KKN,1,4G,1.7004365449408512,1.6571147000828022,-0.0047683014501791465,7
2,KKN,1,4G,3.04190340986838,2.3173766683795156,-0.0191484815092815,10
20,KKN,1,4G,2.0536145566207336,1.9616376855033293,0.14905888327472405,2
21,KKN,1,4G,6.3631434982547335,6.350835821995427,-177.7809966375823,3
22,KKN,1,4G,2.248823181710711,1.7732788212607646,-0.18642261934807092,17
23,KKN,1,4G,2.5701501980928843,2.174754079299652,0.0889136088420468,8
24,KKN,1,4G,3.0345339630423616,2.5211276987394142,-0.8063421046541066,20
25,KKN,1,4G,2.6336967296770046,2.074899142759525,-0.3969491337263571,21
26,KKN,1,4G,2.4343682292265756,1.8484453378030707,-0.4161885403198793,8
3,KKN,1,4G,1.8285486558720871,1.5974327179193009,-0.1458484215625404,31
4,KKN,1,4G,4.2074205476776525,3.846971759644391,-1.3350182555197008,5
5,KKN,1,4G,3.3854571560192337,2.823479708988436,-0.8518381910617738,15
6,KKN,1,4G,2.3979348037899175,1.9557362338328141,0.04772961968987566,44
7,KKN,1,4G,2.008094570575756,1.6925447928581914,0.05134929006618061,27
9,KKN,1,4G,2.654204226210144,2.2149673584943885,-0.7643572372355911,20
