method,regime,k,k_actual,seed,wall_time_s,nystrom_error,kpca_distortion,krr_rmse_target_0,krr_lambda_target_0,krr_rmse_target_1,krr_lambda_target_1,krr_rmse_target_2,krr_lambda_target_2,krr_rmse_target_3,krr_lambda_target_3,krr_rmse_mean,sigma_sq_raw,p90_ae_target_0,p95_ae_target_0,p99_ae_target_0,mae_target_0,worst_group_rmse_target_0,best_group_rmse_target_0,macro_rmse_target_0,std_group_rmse_target_0,n_groups_evaluated_target_0,rmse_dispersion_target_0,worst_group_p95_ae_target_0,macro_p95_ae_target_0,p90_ae_target_1,p95_ae_target_1,p99_ae_target_1,mae_target_1,worst_group_rmse_target_1,best_group_rmse_target_1,macro_rmse_target_1,std_group_rmse_target_1,n_groups_evaluated_target_1,rmse_dispersion_target_1,worst_group_p95_ae_target_1,macro_p95_ae_target_1,p90_ae_target_2,p95_ae_target_2,p99_ae_target_2,mae_target_2,worst_group_rmse_target_2,best_group_rmse_target_2,macro_rmse_target_2,std_group_rmse_target_2,n_groups_evaluated_target_2,rmse_dispersion_target_2,worst_group_p95_ae_target_2,macro_p95_ae_target_2,p90_ae_target_3,p95_ae_target_3,p99_ae_target_3,mae_target_3,worst_group_rmse_target_3,best_group_rmse_target_3,macro_rmse_target_3,std_group_rmse_target_3,n_groups_evaluated_target_3,rmse_dispersion_target_3,worst_group_p95_ae_target_3,macro_p95_ae_target_3,nystrom_coverage_mean,nystrom_coverage_max,nystrom_coverage_p95
KKM-Nystrom,unconstrained,80.0,80.0,1042.0,0.19986666666666666,0.06564522013402453,0.2002276178588965,0.7539593568987534,0.10000000000000002,0.7108092627068915,0.10000000000000002,0.703613492903592,0.10000000000000002,0.7041852588006537,0.10000000000000002,0.7181418428274725,39.421093588149944,1.254352795563508,1.428725110296264,1.94913786107319,0.5985017325914741,1.240122757929954,0.4148896005374922,0.7744778619553717,0.24673890433838297,8.0,2.919890049853091,1.7607369890407127,1.307785764468391,1.1470376083412546,1.3225928653109005,1.76960283569056,0.5589447241620825,0.9006342883252937,0.4515218123204366,0.704328821809182,0.13400001775161913,8.0,2.0799216622906282,1.64755487270305,1.2433352719307182,1.1642377207468144,1.3827030843801775,1.6947880027581634,0.5486768552363811,0.9265465639407827,0.5547514596342431,0.7304044668316262,0.11916904526267481,8.0,1.6744558971007575,1.7143657776881243,1.2881638728972054,1.1961275918606642,1.4508435368676567,1.8181643996556724,0.5339879328165517,1.1346304052688514,0.3703648832080387,0.6977069344366034,0.23594643212111552,8.0,3.137553730530307,2.0445852206209065,1.2362863159195079,0.6539890580268856,0.7758478114835592,0.7488929022642385
KKM-Nystrom (quota),quota,80.0,80.0,1042.0,0.21453333333333333,0.0637962199142864,0.19389068434895565,0.7416998438059146,0.10000000000000002,0.7166173139338071,0.10000000000000002,0.6944464332621535,0.10000000000000002,0.7146676266179605,0.10000000000000002,0.7168578044049588,39.421093588149944,1.1452238787603133,1.5317930429426905,1.8466909345416822,0.5945339056879244,1.2630783086806943,0.4406102982551427,0.766420941293979,0.24204247256292422,8.0,2.871797907987673,1.8781866979221487,1.3159036964782844,1.1145327919501684,1.3408719468333796,2.102538243775342,0.5538018742798773,0.9936137705945748,0.4686443327189367,0.6976660377064839,0.16409556838640985,8.0,2.1781048266685072,1.8809055198550573,1.2487890188851518,1.152745440571957,1.3746780003072496,1.7158606489552224,0.5384264004894016,0.8774523571107039,0.5208535008441633,0.7124671718912508,0.1256452496223231,8.0,1.6903821332754267,1.6526030248582337,1.2501051300524761,1.2227164050774488,1.410591762451836,1.8452989652276426,0.5563199891237401,0.9874570787942156,0.32913064652328367,0.7027483721052699,0.20731351470747175,8.0,3.721394341272268,1.7524667412644854,1.2544388963010604,0.644174651089711,0.771820520721883,0.736082981896578
NSGA-II (Pareto-validated),pareto_validated,80.0,80.0,1042.0,0.20516666666666664,0.06916652831115777,0.21801624507176542,0.7181125016989046,0.10000000000000002,0.7468442480343711,0.10000000000000002,0.7547553340724801,0.10000000000000002,0.7542065879873148,0.10000000000000002,0.7434796679482676,39.421093588149944,1.2004249930858686,1.4528533778749033,1.8335429822255247,0.558919331555284,1.1170199590248249,0.33425044801993914,0.7426666578984372,0.22028294613303082,8.0,9.442840528344112,1.763312250912769,1.3412728812159405,1.1676107636186943,1.434113569210125,2.05731804823072,0.5863821491257246,0.9716418730354451,0.471179150931668,0.7170925128440763,0.15139881471831554,8.0,2.1088420662367207,1.8434926081495593,1.2646899254861184,1.2223630512176973,1.4169813390274022,1.7133899384661653,0.6107409596683911,0.9273114614801355,0.5761249792890974,0.7577845626750106,0.1160365133744375,8.0,1.616493214381166,1.6061919085985796,1.2923454926601103,1.278853973290611,1.4370292044516646,1.9596557237058825,0.5963042985352976,1.05012247121223,0.42104231347675514,0.7480154854314054,0.20758346617241863,8.0,2.5119731998436374,1.8667588776348623,1.292590449439951,0.6677152077760348,0.797450285857455,0.7616171565771461
