state,method,rep_id,target,rmse,mae,r2,n
0,U,2,5G,2.4511441131556415,2.2708619795372744,-0.7077755255691629,4
1,U,2,5G,2.5229985651431597,2.0609897362059195,-0.2693920158085725,20
10,U,2,5G,2.6858700899733603,2.197312668965429,-0.38248069664646644,13
11,U,2,5G,1.926429739410559,1.7323359214048153,-0.4691514447175753,11
12,U,2,5G,2.810116349588287,2.095942116730154,-0.16532718462871587,8
13,U,2,5G,2.822660716599286,2.1206889556397597,-0.6800291681204436,10
14,U,2,5G,2.0733600875143456,1.8141476813857145,-0.03427890209730089,25
15,U,2,5G,3.088361170365657,2.6633880263960528,-3.084979507503939,2
16,U,2,5G,3.116659049624045,2.6256388275496167,-1.019129692008978,18
17,U,2,5G,2.0754973634166745,1.722438351462958,0.16654193722919752,11
18,U,2,5G,3.683779037381481,3.1575503955124,-1.4907999684853999,28
2,U,2,5G,2.9707599041061745,2.6602680379050314,-1.3390944293657636,50
21,U,2,5G,3.260597279104721,2.682564373076175,-2.599858309583224,8
22,U,2,5G,2.20941290078031,1.8976123600812822,-0.4999630901635497,20
23,U,2,5G,3.435894075163406,2.7971631254137583,-0.7720469238503733,14
25,U,2,5G,2.371769264293102,2.096603135981688,-0.7197629338543763,12
26,U,2,5G,2.235448563104334,1.8179235405616856,-0.7551826854298043,36
3,U,2,5G,2.1637504209332628,1.8117521540411288,-0.061507166615285325,16
4,U,2,5G,4.3016507733161635,3.707085681118295,-3.0885090626809424,7
5,U,2,5G,3.647455737414613,3.171358625008361,-2.5373436477022264,21
6,U,2,5G,1.8332374828629059,1.540758863480339,-0.26569298048935885,19
7,U,2,5G,2.528949491144949,2.0074570957289257,-0.030808942177843912,24
8,U,2,5G,3.723724182919496,3.3424719611174796,-4.779520263702375,11
9,U,2,5G,3.3924095704137023,2.6698995339134326,-1.4284712914681847,10
