state,method,rep_id,target,rmse,mae,r2,n
0,SKKN,2,4G,2.112356312706153,1.7258030048108473,-0.2434528285392763,4
1,SKKN,2,4G,3.019717805414183,2.655713503929013,-2.386495337265516,20
10,SKKN,2,4G,2.3670227478356174,2.021735635600588,-0.1156022334450475,13
11,SKKN,2,4G,2.291153074178426,1.624034015864703,-0.10385758702740588,11
12,SKKN,2,4G,4.51465007361826,4.163477385774921,-0.7488964856099767,8
13,SKKN,2,4G,2.0225554555739995,1.6239022810319046,0.09725753827742534,10
14,SKKN,2,4G,2.0199635126081015,1.5920115851771124,-0.4359405291561458,25
15,SKKN,2,4G,4.235075049101447,3.7052430119651536,-3.664234776018807,2
16,SKKN,2,4G,4.924716059680755,4.337676078163025,-2.7497601807218945,18
17,SKKN,2,4G,2.269772122373284,1.9203853295042967,-0.8253824907071983,11
18,SKKN,2,4G,2.49569794447162,2.0375077785287474,-0.1389517070232018,28
2,SKKN,2,4G,2.509280519905418,1.9371092429172807,0.09815823536254631,50
21,SKKN,2,4G,2.363186180141851,1.9115615027812114,-2.669393387483615,8
22,SKKN,2,4G,2.453592901196892,1.8724972199751502,-0.38403841281626505,20
23,SKKN,2,4G,1.810490755826674,1.4356904877529726,0.21499799855036583,14
25,SKKN,2,4G,4.66294236161539,4.039060822870886,-2.4119379051825725,12
26,SKKN,2,4G,2.1468583540152504,1.7066077665942858,-0.054689356551751,36
3,SKKN,2,4G,3.362299755068113,2.433723159696678,-0.26485470800760136,16
4,SKKN,2,4G,2.29629332170044,1.8853075952098242,-0.1858423384061323,7
5,SKKN,2,4G,3.2264440305987145,2.8883476764522813,-3.195542600379733,21
6,SKKN,2,4G,2.114725413762283,1.7239419291681857,0.033414817008098674,19
7,SKKN,2,4G,3.201334409178632,2.6654252497345197,-2.8320663721992605,24
8,SKKN,2,4G,1.4217261047363716,1.1416319748690222,0.14826578084919118,11
9,SKKN,2,4G,1.7786862463755126,1.4779494206613795,-0.5131235520829383,10
