state,method,rep_id,target,rmse,mae,r2,n
0,SKKN,0,5G,4.9518211542146116,4.41245715516101,-2.247220496035214,17
10,SKKN,0,5G,2.200100953131989,1.9022881357092307,-0.6103786987583382,16
11,SKKN,0,5G,3.0830195746574187,2.3255285380671724,-1.1052618359167101,23
12,SKKN,0,5G,2.707311087943808,2.4408353471048354,-0.9433039317128464,36
13,SKKN,0,5G,2.6328965372576185,2.1112739459842307,-0.0967701772040448,46
14,SKKN,0,5G,2.5295398278626378,2.22272975963882,-0.3742277943697325,8
15,SKKN,0,5G,2.7995980620915226,2.234804510916206,-0.13882127566469138,15
16,SKKN,0,5G,3.192819068469734,2.88445899356695,-3.6265394307169423,13
17,SKKN,0,5G,1.7519939441850392,1.410213879571275,-0.0906979091086646,14
18,SKKN,0,5G,1.6783702159670808,1.5830654220050484,-1.5828936699211122,12
19,SKKN,0,5G,3.0594880467338963,2.425747862246502,-0.16259778388060542,21
2,SKKN,0,5G,3.153211877799899,2.3143671329296223,-1.731834336590996,4
20,SKKN,0,5G,2.523869004833347,1.9000666986861874,0.07834984534065947,15
21,SKKN,0,5G,3.0516098310033883,2.734789410610337,-2.3971828795307357,26
22,SKKN,0,5G,2.042331846428645,1.8778006064666843,-0.20144187269440272,6
23,SKKN,0,5G,2.453182208652109,2.0362946805441093,-0.9437515193805177,22
24,SKKN,0,5G,1.514669827203129,1.37606530781884,0.21427342693636198,7
25,SKKN,0,5G,5.356910469589891,5.263413965619657,-26.201699290955663,5
26,SKKN,0,5G,2.918407112380331,2.4981511887509313,-1.8543038012005475,11
3,SKKN,0,5G,3.9097600908283994,3.2679753868349746,-1.5404951345603801,4
4,SKKN,0,5G,2.196986422069117,1.6755777578367408,-0.6341188628320762,17
5,SKKN,0,5G,2.187438442048036,1.9344532106361394,0.18297044797743567,12
6,SKKN,0,5G,3.1097586431520265,2.577068081951652,-0.15908665457065063,13
7,SKKN,0,5G,3.9569704311143115,3.3461621785225293,-1.8486702427373034,4
8,SKKN,0,5G,2.0164027382619576,1.6309509743608201,-0.15182844546832963,24
9,SKKN,0,5G,3.254554975153243,2.541211483637,-0.525669355224653,9
