state,method,rep_id,target,rmse,mae,r2,n
0,Pareto,0,5G,4.950456753120845,4.414756694482871,-2.2454312953845403,17
10,Pareto,0,5G,2.2135904492277705,1.89554312108525,-0.6301866925165724,16
11,Pareto,0,5G,3.0720711086111057,2.3201382955989325,-1.0903359098862873,23
12,Pareto,0,5G,2.708539528065969,2.44255093019764,-0.9450678768555187,36
13,Pareto,0,5G,2.6393739576159008,2.1162890370954446,-0.10217333700025422,46
14,Pareto,0,5G,2.5418197811198415,2.230333877402125,-0.38760288721838654,8
15,Pareto,0,5G,2.7706001216855536,2.2149523725935785,-0.11535187473998709,15
16,Pareto,0,5G,3.1964441220373416,2.879513735857733,-3.6370511282925886,13
17,Pareto,0,5G,1.752669711305394,1.4041981720429357,-0.09153946445091465,14
18,Pareto,0,5G,1.6728538340600492,1.5785087981594923,-1.565942924969114,12
19,Pareto,0,5G,3.062277233906173,2.4196982794038373,-0.16471851838479123,21
2,Pareto,0,5G,3.160194952688192,2.3077235009799772,-1.7439475265275863,4
20,Pareto,0,5G,2.5222871822532396,1.9014737908997172,0.07950476277973395,15
21,Pareto,0,5G,3.054391256487644,2.734369628615354,-2.4033785059477117,26
22,Pareto,0,5G,2.0627025517685724,1.887733682145692,-0.2255283347086252,6
23,Pareto,0,5G,2.454011406171012,2.0304995789180693,-0.9450657522370651,22
24,Pareto,0,5G,1.5192153399518695,1.387004751965692,0.20955043165620424,7
25,Pareto,0,5G,5.3597752791350795,5.262836400324787,-26.23080133609865,5
26,Pareto,0,5G,2.908105048611577,2.4797407210015434,-1.8341878146396966,11
3,Pareto,0,5G,3.9062995934189186,3.26373801232074,-1.5359999808736506,4
4,Pareto,0,5G,2.2072201597000873,1.6764658104615497,-0.649378030935176,17
5,Pareto,0,5G,2.2035949513395865,1.9431691448102912,0.17085664908045217,12
6,Pareto,0,5G,3.1114371660859814,2.581684790701586,-0.16033824919346018,13
7,Pareto,0,5G,3.970208975878689,3.3643770778840194,-1.8677633012942518,4
8,Pareto,0,5G,2.0166486000567714,1.637342481279992,-0.1521093495440773,24
9,Pareto,0,5G,3.249871649399644,2.5518404544548603,-0.5212816182603279,9
