metric,kkn,skkn,nsga,delta_total,delta_constraint,delta_objective,pct_constraint,pct_objective
overall_rmse_4G,2.771017387993968,2.770179578621491,2.770746639088195,0.00027074890577294397,0.0008378093724772384,-0.0005670604667042944,309.44146203857383,-209.44146203857383
overall_mae_4G,2.22003222436351,2.2204907751145213,2.219687883892852,0.0003443404706580111,-0.00045855075101108866,0.0008028912216690998,-133.16783535052664,233.16783535052662
abs_err_p90_4G,4.563558789619861,4.581545904432674,4.581819963867625,-0.018261174247764522,-0.017987114812813232,-0.00027405943495129037,-98.49922337286256,-1.5007766271374356
abs_err_p95_4G,5.434129447369652,5.419254243804459,5.441220014091936,-0.007090566722284031,0.014875203565193118,-0.02196577028747715,209.78864099034217,-309.7886409903422
abs_err_p99_4G,7.179804597797646,7.168533054395354,7.226348475916435,-0.04654387811878902,0.011271543402291861,-0.05781542152108088,24.217026723739465,-124.21702672373947
macro_rmse_4G,2.7962770417745397,2.7948428924159625,2.7976686442405434,-0.0013916024660036719,0.0014341493585772191,-0.002825751824580891,103.05740278656815,-203.05740278656813
worst_group_rmse_4G,5.822036494200245,5.815144685752155,5.82219130212404,-0.00015480792379474195,0.006891808448090231,-0.007046616371884973,4451.84476295154,-4551.84476295154
rmse_dispersion_4G,0.9894816267062402,0.9893885399850223,0.9915326526125271,-0.0020510259062869185,9.30867212178832e-05,-0.0021441126275048017,4.53854439051933,-104.53854439051933
macro_mae_4G,2.382366932944904,2.3816420622377414,2.3833894163885363,-0.001022483443632094,0.0007248707071627614,-0.0017473541507948553,70.89314860569826,-170.89314860569826
worst_group_mae_4G,5.553842514707047,5.5490657583304115,5.555803889656367,-0.0019613749493201382,0.00477675637663566,-0.0067381313259557984,243.5412147122305,-343.5412147122305
overall_rmse_5G,2.7862829684788664,2.786653538073674,2.787598311086498,-0.0013153426076315533,-0.00037056959480752383,-0.0009447730128240295,-28.17285722043042,-71.82714277956958
overall_mae_5G,2.2784297566951768,2.2791005934057664,2.279266771046176,-0.0008370143509992545,-0.0006708367105896507,-0.0001661776404096038,-80.14638097767192,-19.85361902232807
abs_err_p90_5G,4.470969582620953,4.45434627067274,4.46710900854193,0.0038605740790229603,0.016623311948212205,-0.012762737869189245,430.59171014325557,-330.5917101432556
abs_err_p95_5G,5.164473817908217,5.171423759794632,5.182268711578061,-0.017794893669844214,-0.006949941886415623,-0.010844951783428591,-39.05582137977712,-60.94417862022288
abs_err_p99_5G,6.642423983648135,6.626058148828956,6.615697578868612,0.026726404779523705,0.016365834819179526,0.01036056996034418,61.234703860049756,38.76529613995024
macro_rmse_5G,2.7251081559346892,2.726228423889596,2.7260967922169907,-0.0009886362823015027,-0.0011202679549069394,0.00013163167260543673,-113.31446912903134,13.314469129031343
worst_group_rmse_5G,5.034821068557862,5.030342878612438,5.037085342180014,-0.002264273622152757,0.004478189945423594,-0.006742463567576351,197.77600646895127,-297.77600646895127
rmse_dispersion_5G,0.8051802242732166,0.8042462626025846,0.8060617710638383,-0.0008815467906216901,0.0009339616706319775,-0.0018155084612536676,105.94578535908718,-205.94578535908718
macro_mae_5G,2.3035978366387795,2.3038154353009497,2.303437424185004,0.00016041245377529378,-0.00021759866217019308,0.00037801111594548686,-135.64948172602976,235.64948172602976
worst_group_mae_5G,4.71833557076703,4.713976313145462,4.718176205200556,0.00015936556647400124,0.004359257621567636,-0.004199892055093635,2735.3823777728053,-2635.3823777728053
overall_r2_4G,0.004508536423851776,0.005127185328798929,0.004678266588368414,-0.00016973016451663804,-0.0006186489049471531,0.00044891874043051505,-364.4896631715155,264.4896631715155
macro_r2_4G,-3.507188800418783,-3.498448275945202,-3.5197361931207163,0.01254739270193328,-0.00874052447358098,0.02128791717551426,-69.66008541546846,169.66008541546847
worst_group_r2_4G,-65.24136328976171,-65.03209468656637,-65.51734575756072,0.27598246779901103,-0.20926860319534057,0.4852510709943516,-75.82677438327134,175.82677438327136
best_group_r2_4G,0.09536954798766328,0.08733179969249416,0.08447798649715088,0.010891561490512403,0.008037748295169123,0.00285381319534328,73.79794258307933,26.202057416920667
overall_r2_5G,0.004815115527868841,0.004602650793258427,0.003928957285386707,0.0008861582424821339,0.00021246473461041405,0.0006736935078717199,23.975936173126282,76.02406382687373
macro_r2_5G,-1.549179520205543,-1.5504193061602924,-1.550275910116474,0.0010963899109310837,0.001239785954749495,-0.0001433960438184112,113.07892770525729,-13.078927705257287
worst_group_r2_5G,-13.742130987626465,-13.762852775094997,-13.782452687174596,0.04032169954813014,0.02072178746853126,0.01959991207959888,51.39115588071039,48.6088441192896
best_group_r2_5G,0.16277815018896571,0.1619433538136648,0.16142864056014591,0.0013495096288198005,0.000834796375300928,0.0005147132535188725,61.85923816127124,38.14076183872876
