state,method,rep_id,target,rmse,mae,r2,n
0,SKKN,1,5G,2.5818755448055817,2.150294586344799,-0.9313059418677576,17
1,SKKN,1,5G,2.0589210877889124,1.604366367970539,-0.5347825151643215,21
10,SKKN,1,5G,2.1535378622957526,1.59991196072672,-0.5141834476140128,5
11,SKKN,1,5G,5.404267661551258,5.148219250155386,-10.332931930515713,10
12,SKKN,1,5G,2.061794732274831,1.7763481789131557,-0.8991608507861582,13
13,SKKN,1,5G,2.2577879059130868,1.935891031238278,-1.88402413312429,5
14,SKKN,1,5G,2.446906745821515,2.0318615920685787,-0.5134260681601197,38
15,SKKN,1,5G,2.441988937297617,1.9073361183989899,0.1141729302752571,27
16,SKKN,1,5G,0.7223323827200945,0.6850013845768713,-0.7876117428841864,2
17,SKKN,1,5G,3.9207402428471685,3.509945214571659,-3.307427008551108,17
18,SKKN,1,5G,3.541117330410376,2.787784592326362,-0.28675035267567006,6
19,SKKN,1,5G,2.4675859803444524,1.9892886994903374,-0.2092130772662697,7
2,SKKN,1,5G,2.365761987720793,2.194332661258034,-0.1340832324149115,10
20,SKKN,1,5G,1.373464735131681,1.0720980551530124,-1.1247198405359224,2
21,SKKN,1,5G,2.1320399550413134,2.0552008568884963,-5.0611676785613815,3
22,SKKN,1,5G,2.8679563459913338,2.6081528132340757,-2.96054057574978,17
23,SKKN,1,5G,2.301755114029503,1.6767839097656134,-1.2628074262112414,8
24,SKKN,1,5G,2.347766487698159,1.8948551476831539,-0.11195240804591844,20
25,SKKN,1,5G,3.425519172483983,3.1410490863224303,-3.0739349596850065,21
26,SKKN,1,5G,2.3973645916612645,1.7318909540019989,-1.0142248488394916,8
3,SKKN,1,5G,3.2575070344976766,3.0120504585754606,-6.2411911407612575,31
4,SKKN,1,5G,2.4394256592580454,2.0449466806410492,-1.7679910573423925,5
5,SKKN,1,5G,1.6302975209110357,1.3317440903285223,-0.10881597843905144,15
6,SKKN,1,5G,2.2027215351003737,1.7829581451700351,0.012440481580634266,44
7,SKKN,1,5G,2.4641012815096306,1.9430163025726506,0.08083314025797328,27
9,SKKN,1,5G,2.183756844421671,1.7732937758378988,-0.06509207350541057,20
