state,method,rep_id,target,rmse,mae,r2,n
0,SKKN,2,5G,2.459987617704728,2.2795481524528687,-0.7201207525737492,4
1,SKKN,2,5G,2.517086864697903,2.0521225291307865,-0.2634502973045738,20
10,SKKN,2,5G,2.672392032126084,2.1920422092670786,-0.36864056116756605,13
11,SKKN,2,5G,1.923897623649908,1.7399195833566934,-0.4652918524246199,11
12,SKKN,2,5G,2.8326486674541087,2.1014106632562024,-0.18408996127622568,8
13,SKKN,2,5G,2.8220687775122633,2.1259662427154615,-0.6793246054710083,10
14,SKKN,2,5G,2.058117348369142,1.7995825023645173,-0.019127368251673493,25
15,SKKN,2,5G,3.1124425510768523,2.696443589647049,-3.1489328258222695,2
16,SKKN,2,5G,3.130214102816334,2.6345728666728316,-1.0367311863079278,18
17,SKKN,2,5G,2.0868692358779137,1.7164973406569175,0.1573837042293753,11
18,SKKN,2,5G,3.686549742690002,3.1576589275451736,-1.4945482215566233,28
2,SKKN,2,5G,2.9663382093415427,2.6519448515430657,-1.3321365702217287,50
21,SKKN,2,5G,3.2681150077210983,2.6848046026619343,-2.616477323741249,8
22,SKKN,2,5G,2.1941644755090595,1.8901735384598304,-0.47933032529682973,20
23,SKKN,2,5G,3.4344597303081645,2.788906490756831,-0.7705677188460163,14
25,SKKN,2,5G,2.3685110521727775,2.0954204296786054,-0.7150411392652118,12
26,SKKN,2,5G,2.228839580490995,1.8165760017844599,-0.7448198216197139,36
3,SKKN,2,5G,2.1674391942347553,1.808321603885247,-0.06512957793971896,16
4,SKKN,2,5G,4.329850504696166,3.7302957236613428,-3.142289703931125,7
5,SKKN,2,5G,3.63918148063295,3.1697359618476963,-2.521312916409579,21
6,SKKN,2,5G,1.8322070688488497,1.5352870105866705,-0.2642705556566247,19
7,SKKN,2,5G,2.5286661404928976,2.006174394330784,-0.030577965620840253,24
8,SKKN,2,5G,3.71547024458087,3.333620854184318,-4.753927103813616,11
9,SKKN,2,5G,3.3763288923745036,2.6525712440912987,-1.405503009835149,10
