method,cv_abs_err_p90_4G,cv_abs_err_p90_5G,cv_abs_err_p95_4G,cv_abs_err_p95_5G,cv_macro_r2_4G,cv_macro_r2_5G,cv_macro_rmse_4G,cv_macro_rmse_5G,cv_overall_r2_4G,cv_overall_r2_5G,cv_overall_rmse_4G,cv_overall_rmse_5G,cv_worst_group_rmse_4G,cv_worst_group_rmse_5G,mean_abs_err_p90_4G,mean_abs_err_p90_5G,mean_abs_err_p95_4G,mean_abs_err_p95_5G,mean_macro_r2_4G,mean_macro_r2_5G,mean_macro_rmse_4G,mean_macro_rmse_5G,mean_overall_r2_4G,mean_overall_r2_5G,mean_overall_rmse_4G,mean_overall_rmse_5G,mean_worst_group_rmse_4G,mean_worst_group_rmse_5G,n_reps_abs_err_p90_4G,n_reps_abs_err_p90_5G,n_reps_abs_err_p95_4G,n_reps_abs_err_p95_5G,n_reps_macro_r2_4G,n_reps_macro_r2_5G,n_reps_macro_rmse_4G,n_reps_macro_rmse_5G,n_reps_overall_r2_4G,n_reps_overall_r2_5G,n_reps_overall_rmse_4G,n_reps_overall_rmse_5G,n_reps_worst_group_rmse_4G,n_reps_worst_group_rmse_5G,std_abs_err_p90_4G,std_abs_err_p90_5G,std_abs_err_p95_4G,std_abs_err_p95_5G,std_macro_r2_4G,std_macro_r2_5G,std_macro_rmse_4G,std_macro_rmse_5G,std_overall_r2_4G,std_overall_r2_5G,std_overall_rmse_4G,std_overall_rmse_5G,std_worst_group_rmse_4G,std_worst_group_rmse_5G
U,0.04307516297909327,0.024381470894587646,0.05602951514947076,0.05256158487480641,0.8017341719690649,0.2010999476224819,0.015740877985455596,0.05484027605271373,6.425195094256018,5.002192636821889,0.04358268558666246,0.024243466180581347,0.11011933574494019,0.1014136854945201,4.567374036414214,4.477195234707373,5.410514341722238,5.180531574323474,-3.5211126259494043,-1.5468119243265221,2.79616508636078,2.725568550489427,0.004356791686208283,0.003836667210077175,2.7711908642515084,2.7876931450218123,5.822938127723389,5.020517360633598,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.19674038100502136,0.10916060530440432,0.30314849527595494,0.27229695004041776,2.8229963155753657,0.311063796963894,0.04401409345159595,0.14947093170943498,0.027993236568920866,0.019191748468184028,0.1207759401373049,0.06758334448317475,0.6412180787087853,0.5091491686310738
KM,0.04489114151746986,0.0251059745003202,0.05985992951287624,0.05611743580155706,0.8079176367408865,0.19951076917496038,0.01576959014104212,0.05434708291434239,6.887001759274877,4.228067940142141,0.043797666585069374,0.02383777364234761,0.11086795075095277,0.09898189177475042,4.575829567246365,4.449068518941213,5.425009092518366,5.171093065250891,-3.552072278160168,-1.5502141824121933,2.7970183981433014,2.725309064604988,0.004196990793102651,0.0046382340668818705,2.7714025756123415,2.786531662900728,5.844303872159888,5.035070148664572,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.20541421266307944,0.11169820078671547,0.32474066188486206,0.29018848311309375,2.86978184050398,0.309284423918989,0.04410783375567403,0.14811259770129617,0.02890468297575842,0.019610768757058337,0.12138096597967185,0.06642471102746203,0.6479459938722251,0.4983807685333932
KKN,0.040994709738340566,0.02335980837126458,0.05701298784905922,0.05255785464195832,0.7998616636106473,0.19989870074883936,0.01564049826331773,0.05372455786931345,6.53733711216416,3.955593781672421,0.044367190313499526,0.023599498428462238,0.10955863188811277,0.09749329098060389,4.563558789619861,4.470969582620953,5.434129447369652,5.164473817908217,-3.507188800418783,-1.549179520205543,2.7962770417745397,2.7251081559346892,0.004508536423851776,0.004815115527868841,2.771017387993968,2.7862829684788664,5.822036494200245,5.034821068557862,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.187081767954319,0.10444099268377824,0.30981595615310087,0.2714336642238196,2.805265868499598,0.30967897331579836,0.04373516621562993,0.14640523082365126,0.0294738224851901,0.019046641040072303,0.12294225581514474,0.0657548805358681,0.6378543531072433,0.4908612754721866
SKKN,0.04671960635039058,0.02885003240804889,0.05550971375234358,0.053832687812368774,0.7975124425341356,0.20147253717467714,0.015345662917773648,0.05469532576535293,5.776186633696338,4.022873677002754,0.04460069699377746,0.024459359226004992,0.10902768298169847,0.09854200588799744,4.581545904432674,4.45434627067274,5.419254243804459,5.171423759794632,-3.498448275945202,-1.5504193061602924,2.7948428924159625,2.726228423889596,0.005127185328798929,0.004602650793258427,2.770179578621491,2.786653538073674,5.815144685752155,5.030342878612438,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.21404802113133872,0.12850803426558027,0.30082125182475866,0.2783916408064908,2.7900560296283934,0.3123669112967167,0.04288871693515088,0.14911195175540615,0.02961557936469234,0.01851588272063517,0.12355194000444723,0.06815975992616177,0.6340117512908945,0.4957000775628729
Pareto,0.044542846156617515,0.028141025464283154,0.05579946563058441,0.057232388060987766,0.800367842011955,0.20268920528458037,0.015234947145175355,0.05501149836404404,6.046371472613195,4.761641254326895,0.04370648419120463,0.024552873344822156,0.10908400749653929,0.09760597112182022,4.581819963867625,4.46710900854193,5.441220014091936,5.182268711578061,-3.5197361931207163,-1.550275910116474,2.7976686442405434,2.7260967922169907,0.004678266588368414,0.003928957285386707,2.770746639088195,2.787598311086498,5.82219130212404,5.037085342180014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.20408730176787446,0.12570902836110712,0.303617169164771,0.2965936139373507,2.8170836613394012,0.3142241921933377,0.04262233392471907,0.1499666692252707,0.028286537641190237,0.01870828509658555,0.12109959417914157,0.06844354826834693,0.6351079596471846,0.49164960644696637
