method,regime,k,k_actual,seed,wall_time_s,nystrom_error,kpca_distortion,krr_rmse_target_0,krr_lambda_target_0,krr_rmse_target_1,krr_lambda_target_1,krr_rmse_target_2,krr_lambda_target_2,krr_rmse_target_3,krr_lambda_target_3,krr_rmse_mean,sigma_sq_raw,p90_ae_target_0,p95_ae_target_0,p99_ae_target_0,mae_target_0,worst_group_rmse_target_0,best_group_rmse_target_0,macro_rmse_target_0,std_group_rmse_target_0,n_groups_evaluated_target_0,rmse_dispersion_target_0,worst_group_p95_ae_target_0,macro_p95_ae_target_0,p90_ae_target_1,p95_ae_target_1,p99_ae_target_1,mae_target_1,worst_group_rmse_target_1,best_group_rmse_target_1,macro_rmse_target_1,std_group_rmse_target_1,n_groups_evaluated_target_1,rmse_dispersion_target_1,worst_group_p95_ae_target_1,macro_p95_ae_target_1,p90_ae_target_2,p95_ae_target_2,p99_ae_target_2,mae_target_2,worst_group_rmse_target_2,best_group_rmse_target_2,macro_rmse_target_2,std_group_rmse_target_2,n_groups_evaluated_target_2,rmse_dispersion_target_2,worst_group_p95_ae_target_2,macro_p95_ae_target_2,p90_ae_target_3,p95_ae_target_3,p99_ae_target_3,mae_target_3,worst_group_rmse_target_3,best_group_rmse_target_3,macro_rmse_target_3,std_group_rmse_target_3,n_groups_evaluated_target_3,rmse_dispersion_target_3,worst_group_p95_ae_target_3,macro_p95_ae_target_3,nystrom_coverage_mean,nystrom_coverage_max,nystrom_coverage_p95
Farthest-first,unconstrained,80,80,2042,0.209,0.0825435975374511,0.2799572525030875,0.8299039057551021,0.1,0.6900160075769658,0.1,0.8042679722234669,0.1,0.8931447253519869,0.1,0.8043331527268804,39.303781407212696,1.366942295569322,1.6604951646658286,2.4414828149996333,0.652717281669821,1.031486627840804,0.1065232549572405,0.7569145504325692,0.2745301982209203,8,9.683206059135658,1.860725224286584,1.4718792711983275,1.1649966513797734,1.3793409634641327,1.5447972184206151,0.5440505049741613,0.7899428450432331,0.1039933247012541,0.6175821366797576,0.2016300850005322,8,7.59609183870728,1.452036970772314,1.2533287889775742,1.3381499118684068,1.477317348950805,1.9034887228106887,0.6476817416477455,1.171444269746693,0.559617066965572,0.8100659982703643,0.185722124850652,8,2.0932961821530025,1.7510204079223417,1.4233266643059057,1.4163225325816775,1.8109002828355472,2.2113389128806133,0.7160327125652118,1.0151808928651591,0.4218593420157046,0.8086328884122429,0.1750480081889588,8,2.4064440247179992,1.8924312901877305,1.4322305588254831,0.7329575299565042,0.867480947930981,0.834684121323015
KKM-Nystrom,unconstrained,80,80,2042,0.212,0.066081886471336,0.2080346089893784,0.7581461497802549,0.1,0.7358963651586156,0.1,0.7157204343384976,0.1,0.8503949958698505,0.1,0.7650394862868046,39.303781407212696,1.294043977742272,1.4481254723143662,1.8663989690717897,0.6099377105214774,1.0090950306216286,0.3528878723757202,0.7263085532864906,0.1934486219489491,8,2.85953445729992,1.5519418171876584,1.322686695070005,1.142560861708194,1.351779335927508,1.59855474674612,0.6150631735983304,0.918537378016606,0.3347162904464245,0.6813883507384229,0.1667654698007281,8,2.744226690584781,1.5107152734153382,1.240251941559564,1.075258244306678,1.482539726529322,1.8924657546041803,0.5500769318633428,0.9326219848064364,0.5441294957813698,0.7283794296112349,0.1517400948702043,8,1.7139706485993584,2.0086020993830607,1.3481861289582309,1.510097116573162,1.756162655724615,2.0844490246187126,0.638548639489165,1.063460373089911,0.2985478465111589,0.7510658711842266,0.2487347839131269,8,3.562110346859132,2.111414963874297,1.4417228434253335,0.66072353543736,0.7688769328394581,0.7447238130704755
KKM-Nystrom (quota),quota,80,80,2042,0.2219,0.0649870934032291,0.2012754016508784,0.7472050973013091,0.1,0.7398178876105934,0.1,0.723342764435438,0.1,0.8573716947527517,0.1,0.766934361025023,39.303781407212696,1.2418448082962588,1.5686711059420246,1.8319195618255817,0.5943487061896151,0.9602364910938546,0.3122629903587614,0.7067721945894768,0.194164005515956,8,3.075089013880996,1.68528400314229,1.347331998181458,1.284576306810038,1.4103327277741902,1.8322051992287771,0.5741925695480787,1.1100778155143105,0.3858351196258964,0.6921664799419593,0.191975633306581,8,2.877078210481814,1.911921704801572,1.3444575113207562,1.2645453061270606,1.5625409418881182,1.8213446201913917,0.5449850072120089,0.9937472286870476,0.5178383951967432,0.7566078972888464,0.1709903609467641,8,1.9190296391782449,2.0006371961107683,1.3993228641325808,1.5420490382132883,1.649246536079679,2.2965310028234978,0.6605906320562605,1.0361683063410236,0.1603598360358714,0.7813327754319576,0.2525084163172652,8,6.461520115979912,1.997771059417175,1.4808857337166104,0.6407219928567591,0.7769776788404669,0.7355397132046384
Ridge-leverage,unconstrained,80,80,2042,0.202,0.0732453079382227,0.2435946934258659,0.7514869584715848,0.1,0.8299244437927014,0.1,0.8119148213748257,0.1,0.9164096698892716,0.1,0.8274339733820958,39.303781407212696,1.1728125772938072,1.4359185299728296,1.80935894532344,0.6118981448352084,0.859557581181778,0.1211072365368303,0.6857087235348187,0.2332763154593411,8,7.097491493998171,1.6177877705516972,1.3195050999235087,1.3793708913929952,1.645520260524047,1.8495291333637625,0.6470178295963739,0.983863150634504,0.4834500826459947,0.7796344607979713,0.1712668318622566,8,2.035087356381601,2.045199518713817,1.4817600921407774,1.3905321987162371,1.8754488465379773,2.0698380205659808,0.6257642403629469,1.0052562247809078,0.1774292254232286,0.7476483595124177,0.2685242314981615,8,5.665674425298495,2.040272701696895,1.5058719938363636,1.4022988825653822,1.6667907266251467,2.4224072144651267,0.72529401988768,1.3468057370160835,0.3554376089773756,0.8813811757625476,0.2927269554792763,8,3.789148089564745,2.5345281531406947,1.524301581599034,0.6795497297123764,0.8037512445058568,0.771550866915736
Uniform (quota),quota,80,80,2042,0.2114,0.0749186965427516,0.2476492840953462,0.71224075526166,0.1,0.7065826478310911,0.1,0.8193365807613537,0.1,0.8941990102617461,0.1,0.7830897485289627,39.303781407212696,1.2729302661632167,1.4204767923277886,1.711407132316293,0.5702884871482701,0.9647140799600205,0.0381882220129738,0.6579943386305852,0.2590658155283672,8,25.262084200523244,1.5946943309724078,1.3112174580591207,1.2866995039133056,1.4124091785724144,1.6150843431994846,0.5571371618953385,0.8464480095248674,0.0211288611571721,0.6254242118763385,0.2444384014091105,8,40.06122257268672,1.6370915671767243,1.2931697018397428,1.4206111035187503,1.6256333492306725,1.908578546169194,0.6570913625633271,1.1217759336906556,0.5029737702248004,0.8513010818648283,0.1894364257144741,8,2.230287144375911,1.9906882214140935,1.434777698608006,1.341741406106476,1.6383041522554147,2.259039396919209,0.6587422900233421,1.1859191011035115,0.4322371762289612,0.8381954793073585,0.2073107621087226,8,2.743676773594588,1.9811578770886709,1.5335953518515717,0.6787209543014644,0.790853689498667,0.7719268840394701
NSGA-II (Pareto-validated),pareto_validated,80,80,2042,0.1914,0.0637879346511705,0.1921548381831153,0.6807417992123336,0.1,0.8281785911533409,0.1,0.8445290132317186,0.1,0.8728011121057405,0.1,0.8065626289257835,39.303781407212696,1.1389744451687764,1.2965393796269389,1.4465606931350783,0.5499820479505313,1.0294566973694057,0.0448912813410344,0.6279016479739561,0.2592917625222015,8,22.93221905493696,1.6495487680300678,1.2536724739644918,1.3025413751503163,1.5502351716112932,1.961980038106389,0.6654413895072845,1.0507960866625066,0.4042863782105435,0.7589751851786244,0.1807964960374032,8,2.5991379954812004,1.7950836200285187,1.4024053539427073,1.3585639151658238,1.521424213881643,1.8373633467879928,0.6783920155010796,1.0264231418854597,0.5566411818493018,0.8052228696322776,0.1420521193912275,8,1.8439583260358567,1.78988179780858,1.4163563550328175,1.4186581058687404,1.6722112953574282,2.2615314505820594,0.6856960463765353,1.1184457140687751,0.3785020948972316,0.7914736245395346,0.2423857241331233,8,2.954926086663928,1.9443612139817752,1.441053480741442,0.6471428986714225,0.7771261769309105,0.741554220074001
Uniform,unconstrained,80,80,42,0.2093,0.0707070956187378,0.2364543174201965,0.7043798373882358,0.1,0.6920893711869097,0.1,0.7080497877263084,0.1,0.7720313634262368,0.1,0.7191375899319227,39.22016137498216,1.257100121783095,1.466936701129652,1.7045067879104612,0.5448975091082793,0.8318357182435858,0.4263064941487092,0.6746425979331439,0.1247561796441684,8,1.9512621310277647,1.6181134215264408,1.1961618069074236,1.1381765586707644,1.2786994029107657,1.8198383410102323,0.5391336259774979,0.8546629389977951,0.4496794752143656,0.6588556855404111,0.1167077824305753,8,1.9006047331610385,1.4598440371079122,1.1900828179600853,1.1780128777633,1.388467727090822,1.841692988158601,0.5400138997484908,0.8434307997372555,0.4560120866327788,0.6924413005259846,0.1157410519966999,8,1.8495799222454832,1.5876288435932362,1.2742479641850233,1.2329897847305735,1.5529048517885302,2.2298770635562484,0.5802933587890322,1.1492973721654796,0.3943013223502685,0.742773820018632,0.2091010507976557,8,2.914769256453388,2.3682950780457173,1.3926788337146334,0.6840590561197503,0.7951040709712575,0.7727368259348557
K-means,unconstrained,80,80,42,0.1926,0.0639572172580455,0.1905739518315395,0.7852512429855575,0.1,0.7494435158285556,0.1,0.7424025590267277,0.1,0.7736861305470595,0.1,0.762695862096975,39.22016137498216,1.3543012865479571,1.4587407704122926,1.7628814307181933,0.6360513484524759,0.9067700822014622,0.4357972624385141,0.7519934301600111,0.1421332650380779,8,2.0807154159886374,1.776657384537177,1.2932753237572392,1.2304436575637698,1.504567383862366,2.120854874100134,0.5727060583157503,0.8807485352249909,0.5568764542408865,0.72161309178662,0.1010444904926854,8,1.5815869543732008,1.8993903733884323,1.3474773716878632,1.109051947729349,1.4475757505066371,2.0174548248009865,0.5959173359700384,0.9496265448914648,0.582890074327914,0.7387112985657781,0.1125133918289457,8,1.629169180803785,1.6830893594116911,1.2538337421452517,1.2263823764141912,1.4919887412801631,2.031357734665196,0.6075537136682876,1.057694724466515,0.4402383974355559,0.7295150092640903,0.2013400970116339,8,2.4025499152907157,1.7728982189358942,1.2437738725565175,0.6454984588324366,0.7605679756596841,0.7343826749031649
Farthest-first,unconstrained,80,80,42,0.2872,0.0817638077801918,0.2769246680626288,0.7385067493440252,0.1,0.7875058026258882,0.1,0.7288442111683618,0.1,0.6766428218952703,0.1,0.7328748962583864,39.22016137498216,1.277768030688329,1.50276950046161,1.658001123344629,0.5792726249742939,0.8732421127199418,0.4708054213216621,0.7117205636520305,0.1384239248759435,8,1.854783469290869,1.668081021376808,1.314443810944684,1.3057069544659547,1.551894452780422,2.0750548989994293,0.5910545335778653,0.96413706006615,0.5479981998446625,0.7676696331518708,0.1383189714522881,8,1.7593799766850469,1.7037604064566891,1.3904323031973669,1.116922121423871,1.5274630093268693,1.933858020343679,0.5761148342588601,0.8867129030865609,0.6262454406662165,0.7244235398846768,0.080536027942691,8,1.41591913570381,1.74923395875122,1.2778034103570182,1.2400428661411222,1.3078415040682876,1.546749506153995,0.5419911070158921,0.8133532039604855,0.5183846885629516,0.6610039006704415,0.1027097902375119,8,1.569014714179224,1.5782923168709762,1.1736149681520307,0.7345942308387414,0.860668018753346,0.8318966330108735
KKM-Nystrom,unconstrained,80,80,42,0.1888,0.0663296388249283,0.2042271394994319,0.7816880457746258,0.1,0.6918487347024556,0.1,0.6725592721711725,0.1,0.6799974840375461,0.1,0.70652338417145,39.22016137498216,1.324228727298415,1.445626804604074,2.06882007285937,0.6168280805040507,0.8948985780980447,0.3719763370495533,0.7355861116427596,0.1655937674922763,8,2.40579437175013,1.6415155556354273,1.2649537999821507,1.133418641840317,1.332164764294029,1.8161195954588776,0.516399211230356,0.8169600510577887,0.5065755968602333,0.6811261594706464,0.0905710175040627,8,1.6127110269845706,1.5257642749385192,1.262218397191638,1.214532638312999,1.3066664758989015,1.4904377245254683,0.5302067758009216,0.7842362340848422,0.5714839489094818,0.666753501304191,0.0600278081003005,8,1.372280421141029,1.3818536507699992,1.1854643092947552,1.177792587160841,1.4354551573762473,1.7919182032843148,0.511907174122843,0.9102353053694276,0.4289836398141242,0.6522927659163948,0.1305659661428487,8,2.1218415363434997,1.9380270142507063,1.2186305352813411,0.6575830184870554,0.7858260182889074,0.755096045666473
