state,method,rep_id,target,rmse,mae,r2,n
0,U,2,4G,2.1159814563479653,1.7416982693669012,-0.2477244214079044,4
1,U,2,4G,3.0407423168242484,2.6713454247275785,-2.4338158315500955,20
10,U,2,4G,2.3780854427089984,2.0358928717029925,-0.12605452618821422,13
11,U,2,4G,2.281214220439113,1.6125967771607315,-0.0943014527278414,11
12,U,2,4G,4.5244516408975315,4.159994973536381,-0.7564986405265219,8
13,U,2,4G,2.029767174296115,1.6157943687571386,0.0908083391177622,10
14,U,2,4G,2.027875478802819,1.6042426903500058,-0.4472113891926006,25
15,U,2,4G,4.2386034788801945,3.701553880031183,-3.6720099773528903,2
16,U,2,4G,4.925012849571825,4.331102504756,-2.7502121557947663,18
17,U,2,4G,2.2514969225466617,1.904430110255545,-0.796106483147972,11
18,U,2,4G,2.487097882520034,2.0304229229511663,-0.13111567974769,28
2,U,2,4G,2.5006877367050757,1.9327418489053683,0.10432419591930875,50
21,U,2,4G,2.3602876798773926,1.9083633355609377,-2.6603977228091633,8
22,U,2,4G,2.447111730198547,1.8737785832305753,-0.3767361890205829,20
23,U,2,4G,1.8102655157620529,1.4219949874738906,0.2151933079187318,14
25,U,2,4G,4.666703256652498,4.045888019217544,-2.4174439201139966,12
26,U,2,4G,2.1532083322739486,1.7107480961080572,-0.060937704554646865,36
3,U,2,4G,3.374518264157992,2.443032421247235,-0.2740643090252879,16
4,U,2,4G,2.2861501007752794,1.8697978712313839,-0.17538923557177055,7
5,U,2,4G,3.2285724432502714,2.8966418771117,-3.201079836591158,21
6,U,2,4G,2.1174494891851934,1.7213256057521353,0.030923007148320525,19
7,U,2,4G,3.2051560738804374,2.6676893842445892,-2.841221063486843,24
8,U,2,4G,1.396417870587644,1.1227698004154865,0.17831943200435774,11
9,U,2,4G,1.768746374914111,1.471529578279818,-0.49625916270173454,10
