state,method,rep_id,target,rmse,mae,r2,n
0,Pareto,1,5G,2.5757827300258005,2.149122053316868,-0.9222015486038799,17
1,Pareto,1,5G,2.0329074213824394,1.5824773949165996,-0.49624475851946626,21
10,Pareto,1,5G,2.169317420165502,1.6292854739533802,-0.5364544107072216,5
11,Pareto,1,5G,5.4091092954818984,5.147659118196524,-10.353247166521891,10
12,Pareto,1,5G,2.0715261506737632,1.7896471449994682,-0.9171307716819834,13
13,Pareto,1,5G,2.2569582539649518,1.946829167376712,-1.881904982238538,5
14,Pareto,1,5G,2.4415490259380555,2.0285757352145093,-0.5068057620970936,38
15,Pareto,1,5G,2.4559813396694596,1.9131607028937485,0.10399240951167732,27
16,Pareto,1,5G,0.7118119707541215,0.6680399344758374,-0.7359195873124527,2
17,Pareto,1,5G,3.9162396923537823,3.509299459803231,-3.297543840965922,17
18,Pareto,1,5G,3.544600696735801,2.7854540509066834,-0.2892831280632846,6
19,Pareto,1,5G,2.472149089406565,1.9960743409270338,-0.21368941404314956,7
2,Pareto,1,5G,2.3646050516300727,2.190703335470832,-0.13297429499230318,10
20,Pareto,1,5G,1.3245796186024537,1.038010605798762,-0.9761630914906165,2
21,Pareto,1,5G,2.145858652073781,2.0653786317560123,-5.139992537524794,3
22,Pareto,1,5G,2.8635059712225823,2.6074323345800257,-2.9482585099407768,17
23,Pareto,1,5G,2.328257706562823,1.6883637414278885,-1.3152157072093273,8
24,Pareto,1,5G,2.3331797591886563,1.8865935809241108,-0.09817815823150444,20
25,Pareto,1,5G,3.443644903257741,3.1622178457759795,-3.117162517571737,21
26,Pareto,1,5G,2.385597100110255,1.7118430781444884,-0.9944996870631297,8
3,Pareto,1,5G,3.2650061087811495,3.0203735319994203,-6.274569263355981,31
4,Pareto,1,5G,2.424768084974046,2.0433852917596376,-1.7348273956580287,5
5,Pareto,1,5G,1.6429642001728428,1.336872156499933,-0.12611291707978678,15
6,Pareto,1,5G,2.199871148405286,1.7814561017430683,0.014994690243035458,44
7,Pareto,1,5G,2.4667397207099677,1.943166837768483,0.07886368854173331,27
9,Pareto,1,5G,2.173832047817356,1.755455680800773,-0.05543275548801074,20
