state,method,rep_id,target,rmse,mae,r2,n
0,KKN,2,4G,2.105330514349798,1.722618113157732,-0.23519501692361322,4
1,KKN,2,4G,3.03280360941584,2.6652259449335474,-2.4159093657309447,20
10,KKN,2,4G,2.357001484819336,2.009418668417307,-0.1061759805067557,13
11,KKN,2,4G,2.305146416053018,1.638772885974864,-0.11738250373238546,11
12,KKN,2,4G,4.532592197446294,4.169321578422316,-0.7628250381428827,8
13,KKN,2,4G,2.024321093800957,1.6269299650383982,0.09568070900537129,10
14,KKN,2,4G,2.037376505229153,1.5970186931048014,-0.46080414142473924,25
15,KKN,2,4G,4.207039631870033,3.6960207678664196,-3.602686420694143,2
16,KKN,2,4G,4.926431257282863,4.3318826899846075,-2.752372595163338,18
17,KKN,2,4G,2.272917925054756,1.9168990205519052,-0.8304457940741852,11
18,KKN,2,4G,2.4823090274949777,2.0305524784689033,-0.12676399409319594,28
2,KKN,2,4G,2.5013439979538132,1.9309496269117192,0.10385402570051327,50
21,KKN,2,4G,2.364477547433688,1.9162213148504135,-2.673404776287122,8
22,KKN,2,4G,2.4525022605505487,1.8610594998743906,-0.38280825514925354,20
23,KKN,2,4G,1.8043113045720696,1.4193886093559225,0.22034749092166928,14
25,KKN,2,4G,4.665580953254779,4.053918159738895,-2.4158003839728948,12
26,KKN,2,4G,2.1475968725725845,1.7066409827176114,-0.05541510693259655,36
3,KKN,2,4G,3.385000384254829,2.4484339310206065,-0.28199174394647897,16
4,KKN,2,4G,2.304597063086556,1.8968164426140832,-0.1944342129674188,7
5,KKN,2,4G,3.2133301790977233,2.8827707078632807,-3.1615064239988993,21
6,KKN,2,4G,2.102912942980991,1.7140979901592512,0.04418299560609129,19
7,KKN,2,4G,3.19864109619565,2.6570557235307812,-2.8256211770181183,24
8,KKN,2,4G,1.4119913313131924,1.12500902377768,0.1598897543315102,11
9,KKN,2,4G,1.7911851165013841,1.4859768868412682,-0.5344637783441486,10
