state,method,rep_id,target,rmse,mae,r2,n
0,KKN,2,5G,2.441294718116698,2.253905607129884,-0.6940784436166441,4
1,KKN,2,5G,2.533364104588724,2.0748675417763507,-0.27984383481145403,20
10,KKN,2,5G,2.6711902189883023,2.180233190570369,-0.3674098432705333,13
11,KKN,2,5G,1.9093474753569892,1.7277464176896076,-0.4432120985962038,11
12,KKN,2,5G,2.803505677218983,2.0949708716306583,-0.15985087398423037,8
13,KKN,2,5G,2.8160272186629762,2.130159164469564,-0.6721420177323154,10
14,KKN,2,5G,2.063188492250031,1.801604127760318,-0.024155758493761503,25
15,KKN,2,5G,3.130215482727396,2.7193808793133147,-3.196451282975742,2
16,KKN,2,5G,3.110138892131946,2.6211500556919707,-1.0106903519859611,18
17,KKN,2,5G,2.0917155682242194,1.7269015820304352,0.15346554758978947,11
18,KKN,2,5G,3.678188701495131,3.1546272826099164,-1.483245854743405,28
2,KKN,2,5G,2.961154069501979,2.650329048047983,-1.3239921466509097,50
21,KKN,2,5G,3.2500908460733435,2.6766684217691084,-2.576696458096948,8
22,KKN,2,5G,2.200556918694663,1.8915012230069421,-0.4879625955033844,20
23,KKN,2,5G,3.4322933592020166,2.7821348055685617,-0.768334763845895,14
25,KKN,2,5G,2.3710499877637603,2.1018096235520813,-0.7187200014196524,12
26,KKN,2,5G,2.2350462614760533,1.8159739083748394,-0.7545510007413079,36
3,KKN,2,5G,2.17378200666821,1.815347182874968,-0.07137270802131623,16
4,KKN,2,5G,4.341900561791518,3.746115097911035,-3.165377930346909,7
5,KKN,2,5G,3.637964946256043,3.171723372453826,-2.518959045229219,21
6,KKN,2,5G,1.8403954407848544,1.5459658326675463,-0.2755961865215082,19
7,KKN,2,5G,2.53118594113252,2.010389628151728,-0.0326329185057439,24
8,KKN,2,5G,3.7162979681777757,3.3374649023162277,-4.756491081685759,11
9,KKN,2,5G,3.391481894361316,2.6730002096300636,-1.4271433111118985,10
